ntaname,flood_classification,flooded_area,shape_area,boroname,flooded_area_perc,ntaname_boro
Allerton,Deep and Contiguous Flooding,211873.73617903126,15753915.7367,Bronx,1.34,"Allerton, Bronx"
Allerton,Nuisance Flooding,302685.68093074556,15753915.7367,Bronx,1.92,"Allerton, Bronx"
Alley Pond Park,Deep and Contiguous Flooding,210375.42145600577,26132395.8972,Queens,0.81,"Alley Pond Park, Queens"
Alley Pond Park,Future High Tides 2080,2624616.8222865607,26132395.8972,Queens,10.04,"Alley Pond Park, Queens"
Alley Pond Park,Nuisance Flooding,278894.07776514505,26132395.8972,Queens,1.07,"Alley Pond Park, Queens"
Annadale-Huguenot-Prince's Bay-Woodrow,Deep and Contiguous Flooding,3286913.8380666184,180428303.889,Staten Island,1.82,"Annadale-Huguenot-Prince's Bay-Woodrow, Staten Island"
Annadale-Huguenot-Prince's Bay-Woodrow,Future High Tides 2080,5614786.134670469,180428303.889,Staten Island,3.11,"Annadale-Huguenot-Prince's Bay-Woodrow, Staten Island"
Annadale-Huguenot-Prince's Bay-Woodrow,Nuisance Flooding,3269653.5776514215,180428303.889,Staten Island,1.81,"Annadale-Huguenot-Prince's Bay-Woodrow, Staten Island"
Arden Heights-Rossville,Deep and Contiguous Flooding,1276915.318163702,67773961.36,Staten Island,1.88,"Arden Heights-Rossville, Staten Island"
Arden Heights-Rossville,Nuisance Flooding,1769744.7457741753,67773961.36,Staten Island,2.61,"Arden Heights-Rossville, Staten Island"
Astoria (Central),Deep and Contiguous Flooding,389318.1475129781,21084822.1066,Queens,1.85,"Astoria (Central), Queens"
Astoria (Central),Nuisance Flooding,777165.9348668276,21084822.1066,Queens,3.69,"Astoria (Central), Queens"
Astoria (East)-Woodside (North),Deep and Contiguous Flooding,554189.9511520065,26043273.0652,Queens,2.13,"Astoria (East)-Woodside (North), Queens"
Astoria (East)-Woodside (North),Nuisance Flooding,1374449.016744276,26043273.0652,Queens,5.28,"Astoria (East)-Woodside (North), Queens"
Astoria (North)-Ditmars-Steinway,Deep and Contiguous Flooding,1596906.6371932372,58301781.4345,Queens,2.74,"Astoria (North)-Ditmars-Steinway, Queens"
