nta2020,count,flood_classification,flooded_count,flooded_perc,ntaname,boroname,ntaname_boro
BX0303,1685,Nuisance Flooding,49,2.91,Crotona Park East,Bronx,"Crotona Park East, Bronx"
BX0303,1685,Future High Tides 2080,5,0.3,Crotona Park East,Bronx,"Crotona Park East, Bronx"
MN0201,1681,Nuisance Flooding,197,11.72,SoHo-Little Italy-Hudson Square,Manhattan,"SoHo-Little Italy-Hudson Square, Manhattan"
MN0201,1681,Deep and Contiguous Flooding,196,11.66,SoHo-Little Italy-Hudson Square,Manhattan,"SoHo-Little Italy-Hudson Square, Manhattan"
BX0202,1672,Deep and Contiguous Flooding,164,9.81,Longwood,Bronx,"Longwood, Bronx"
BX0202,1672,Nuisance Flooding,82,4.9,Longwood,Bronx,"Longwood, Bronx"
BX0501,1672,Nuisance Flooding,24,1.44,University Heights (South)-Morris Heights,Bronx,"University Heights (South)-Morris Heights, Bronx"
BX0501,1672,Deep and Contiguous Flooding,15,0.9,University Heights (South)-Morris Heights,Bronx,"University Heights (South)-Morris Heights, Bronx"
BX0501,1672,Future High Tides 2080,9,0.54,University Heights (South)-Morris Heights,Bronx,"University Heights (South)-Morris Heights, Bronx"
MN0903,1641,Nuisance Flooding,38,2.32,Hamilton Heights-Sugar Hill,Manhattan,"Hamilton Heights-Sugar Hill, Manhattan"
MN0903,1641,Future High Tides 2080,1,0.06,Hamilton Heights-Sugar Hill,Manhattan,"Hamilton Heights-Sugar Hill, Manhattan"
MN0803,1630,Nuisance Flooding,13,0.8,Upper East Side-Yorkville,Manhattan,"Upper East Side-Yorkville, Manhattan"
MN0803,1630,Future High Tides 2080,3,0.18,Upper East Side-Yorkville,Manhattan,"Upper East Side-Yorkville, Manhattan"
QN0102,1608,Deep and Contiguous Flooding,398,24.75,Old Astoria-Hallets Point,Queens,"Old Astoria-Hallets Point, Queens"
QN0102,1608,Nuisance Flooding,181,11.26,Old Astoria-Hallets Point,Queens,"Old Astoria-Hallets Point, Queens"
QN0102,1608,Future High Tides 2080,10,0.62,Old Astoria-Hallets Point,Queens,"Old Astoria-Hallets Point, Queens"
MN0801,1527,Nuisance Flooding,95,6.22,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,"Upper East Side-Lenox Hill-Roosevelt Island, Manhattan"
MN0801,1527,Deep and Contiguous Flooding,48,3.14,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,"Upper East Side-Lenox Hill-Roosevelt Island, Manhattan"
MN0801,1527,Future High Tides 2080,8,0.52,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,"Upper East Side-Lenox Hill-Roosevelt Island, Manhattan"
BK0201,1489,Deep and Contiguous Flooding,26,1.75,Brooklyn Heights,Brooklyn,"Brooklyn Heights, Brooklyn"
BK0201,1489,Nuisance Flooding,7,0.47,Brooklyn Heights,Brooklyn,"Brooklyn Heights, Brooklyn"
MN0502,1469,Nuisance Flooding,195,13.27,Midtown-Times Square,Manhattan,"Midtown-Times Square, Manhattan"
